group_id,group_title,action_id,action_name,role_id,role_name,raci
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__story_sizing_and_estimation,Story sizing and estimation,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,delivery_manager,Delivery Manager,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__sprint_execution,Sprint execution,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,delivery_manager,Delivery Manager,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__daily_standups,Daily standups,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),delivery_manager,Delivery Manager,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_team_level,Remove blockers (team-level),tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),delivery_manager,Delivery Manager,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),delivery_manager,Delivery Manager,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),senior_team_lead,Senior Team Lead,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),team_lead,Team lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__remove_blockers_cross_team_infrastructure_pre,Remove blockers (cross-team/infrastructure/PRE),tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,delivery_manager,Delivery Manager,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_team_retrospectives,Facilitate team retrospectives,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,delivery_manager,Delivery Manager,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,product_owner,Product Owner,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,team_lead,Team lead,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,team_lead,Team lead,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_sprint_reviews,Facilitate sprint reviews,tech_lead,Tech lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,delivery_manager,Delivery Manager,R
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,delivery_manager,Delivery Manager,A
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,product_owner,Product Owner,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,senior_team_lead,Senior Team Lead,I
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,team_lead,Team lead,C
delivery_stage_planning_execution,Delivery Stage - Planning & Execution,delivery_stage_planning_execution__facilitate_feature_retrospectives,Facilitate feature retrospectives,tech_lead,Tech lead,C
quality_risk_management,Quality & Risk Management,quality_risk_management__define_quality_standards,Define quality standards,delivery_manager,Delivery Manager,R
